timestamp,tag_id,voltage
2025-07-01T06:02:05.700181,1,4.11
2025-07-01T06:02:05.776451,2,4.18
2025-07-01T06:02:05.849690,3,4.15
2025-07-01T06:02:05.933033,4,3.52
2025-07-01T06:02:06.007282,5,4.11
2025-07-01T06:02:06.467962,89,3.59
2025-07-01T06:02:07.695552,1,4.1
2025-07-01T06:02:07.780557,2,4.16
2025-07-01T06:02:07.855097,3,4.12
2025-07-01T06:02:07.928941,4,3.51
2025-07-01T06:02:08.012907,5,4.08
2025-07-01T06:02:08.471071,89,3.6
2025-07-01T06:02:09.699970,1,4.1
2025-07-01T06:02:09.774453,2,4.17
2025-07-01T06:02:09.858233,3,4.14
2025-07-01T06:02:09.932637,4,3.51
2025-07-01T06:02:10.006550,5,4.09
2025-07-01T06:02:10.473172,89,3.59
2025-07-01T06:02:11.705264,1,4.1
2025-07-01T06:02:11.781228,2,4.16
2025-07-01T06:02:11.854736,3,4.14
2025-07-01T06:02:11.929639,4,3.51
2025-07-01T06:02:12.013547,5,4.09
2025-07-01T06:02:12.469275,89,3.59
2025-07-01T06:02:13.705640,1,4.09
2025-07-01T06:02:13.778916,2,4.18
2025-07-01T06:02:13.863449,3,4.14
2025-07-01T06:02:13.936376,4,3.51
2025-07-01T06:02:14.011889,5,4.09
2025-07-01T06:02:14.480430,89,3.61
2025-07-01T06:02:15.705956,1,4.13
2025-07-01T06:02:15.780129,2,4.17
2025-07-01T06:02:15.865710,3,4.12
2025-07-01T06:02:15.942507,4,3.5
2025-07-01T06:02:16.018699,5,4.09
2025-07-01T06:02:17.708767,1,4.11
2025-07-01T06:02:17.786603,2,4.15
2025-07-01T06:02:17.863879,3,4.14
2025-07-01T06:02:17.940488,4,3.52
2025-07-01T06:02:18.016311,5,4.11
2025-07-01T06:02:18.477355,89,3.6
2025-07-01T06:02:19.715884,1,4.1
2025-07-01T06:02:19.791428,2,4.17
2025-07-01T06:02:19.868056,3,4.13
2025-07-01T06:02:19.941891,4,3.52
2025-07-01T06:02:20.019233,5,4.1
2025-07-01T06:02:20.481737,89,3.58
2025-07-01T06:02:21.715902,1,4.1
2025-07-01T06:02:21.789842,2,4.17
2025-07-01T06:02:21.863443,3,4.14
2025-07-01T06:02:21.939304,4,3.53
2025-07-01T06:02:22.023827,5,4.1
2025-07-01T06:02:22.482350,89,3.59
2025-07-01T06:02:23.714839,1,4.13
2025-07-01T06:02:23.789275,2,4.19
2025-07-01T06:02:23.873156,3,4.13
2025-07-01T06:02:23.946923,4,3.5
2025-07-01T06:02:24.021059,5,4.09
2025-07-01T06:02:24.487983,89,3.58
2025-07-01T06:02:25.716200,1,4.11
2025-07-01T06:02:25.789899,2,4.17
2025-07-01T06:02:25.875739,3,4.14
2025-07-01T06:02:25.950241,4,3.52
2025-07-01T06:02:26.024758,5,4.1
2025-07-01T06:02:27.718851,1,4.12
2025-07-01T06:02:27.793519,2,4.15
2025-07-01T06:02:27.877104,3,4.13
2025-07-01T06:02:27.951393,4,3.52
2025-07-01T06:02:28.026073,5,4.06
2025-07-01T06:02:28.494223,89,3.61
2025-07-01T06:02:29.720138,1,4.12
2025-07-01T06:02:29.794728,2,4.19
2025-07-01T06:02:29.878726,3,4.14
2025-07-01T06:02:29.952640,4,3.52
2025-07-01T06:02:30.025657,5,4.07
2025-07-01T06:02:30.493888,89,3.59
2025-07-01T06:02:31.727714,1,4.1
2025-07-01T06:02:31.802604,2,4.16
2025-07-01T06:02:31.876074,3,4.13
2025-07-01T06:02:31.950233,4,3.51
2025-07-01T06:02:32.034641,5,4.07
2025-07-01T06:02:32.492746,89,3.61
2025-07-01T06:02:33.724788,1,4.1
2025-07-01T06:02:33.798741,2,4.16
2025-07-01T06:02:33.883922,3,4.13
2025-07-01T06:02:33.951092,4,3.51
2025-07-01T06:02:34.036146,5,4.05
2025-07-01T06:02:34.490536,89,3.6
2025-07-01T06:02:35.727396,1,4.13
2025-07-01T06:02:35.800852,2,4.15
2025-07-01T06:02:35.885937,3,4.11
2025-07-01T06:02:35.961510,4,3.51
2025-07-01T06:02:36.036391,5,4.05
2025-07-01T06:02:36.497299,89,3.61
2025-07-01T06:02:37.732770,1,4.15
2025-07-01T06:02:37.806755,2,4.17
2025-07-01T06:02:37.881353,3,4.13
2025-07-01T06:02:37.955900,4,3.53
2025-07-01T06:02:38.040951,5,4.07
2025-07-01T06:02:38.500044,89,3.59
2025-07-01T06:02:39.726531,1,4.12
2025-07-01T06:02:39.811027,2,4.18
2025-07-01T06:02:39.885137,3,4.13
2025-07-01T06:02:39.958811,4,3.53
2025-07-01T06:02:40.043484,5,4.05
2025-07-01T06:02:40.499727,89,3.6
2025-07-01T06:02:41.732840,1,4.11
2025-07-01T06:02:41.805947,2,4.16
2025-07-01T06:02:41.890758,3,4.15
2025-07-01T06:02:41.964382,4,3.51
2025-07-01T06:02:42.039012,5,4.06
2025-07-01T06:02:42.506024,89,3.61
